"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"P.S. 190 Sheffield","203",48,0.236,22,NA,NA,25,2019
"P.S. 202 Ernest S. Jenkyns","383",54,0.141,29,20,9,21,2019
"P.S. 213 New Lots","295",62,0.21,32,22,10,26,2019
"P.S. 214 Michael Friedsam","915",87,0.095,21,NA,NA,64,2019
"J.H.S. 218 James P. Sinnott","457",85,0.186,29,15,14,54,2019
"P.S. 224 Hale A. Woodruff","418",61,0.146,37,25,12,24,2019
"P.S. 273 Wortman","367",65,0.177,24,NA,NA,37,2019
"P.S. 290 Juan Morel Campos","497",85,0.171,38,27,11,45,2019
"J.H.S. 292 Margaret S. Douglas","598",151,0.253,105,72,33,40,2019
"P.S. 306 Ethan Allen","309",89,0.288,35,25,10,50,2019
"The Fresh Creek School","194",31,0.16,19,NA,NA,6,2019
"P.S. 328 Phyllis Wheatley","323",126,0.39,116,99,17,10,2019
"P.S. 345 Patrolman Robert Bolden","567",86,0.152,31,NA,NA,55,2019
"P.S. 346 Abe Stark","588",55,0.094,10,NA,NA,45,2019
"I.S. 364 Gateway","341",34,0.1,13,NA,NA,19,2019
"Academy for Young Writers","549",48,0.087,27,14,13,18,2019
"East New York Family Academy","499",52,0.104,23,10,13,25,2019
"Spring Creek Community School","540",42,0.078,22,14,8,20,2019
"Thomas Jefferson Yabc","212",25,0.118,15,6,9,7,2019
"Home Schooling","203",26,0.128,19,NA,NA,6,2019
"Frederick Douglass Academy VIII Middle School","339",24,0.071,10,NA,NA,13,2019
"Franklin K. Lane Campus YABC","238",30,0.126,10,NA,NA,16,2019
"FDNY - Captain Vernon A. Richard High School for F","278",44,0.158,25,11,14,16,2019
"High School for Civil Rights","243",55,0.226,36,17,19,16,2019
"Performing Arts and Technology High School","395",55,0.139,33,23,10,20,2019
"World Academy for Total Community Health High Scho","279",70,0.251,33,25,8,34,2019
"Brooklyn Gardens Elementary School","321",114,0.355,62,46,16,48,2019
"Multicultural High School","278",26,0.094,NA,NA,NA,22,2019
"Transit Tech Career and Technical Education High S","654",59,0.09,22,11,11,33,2019
"Academy of Innovative Technology","423",11,0.026,10,NA,NA,NA,2019
"Brooklyn Lab School","428",44,0.103,18,10,8,23,2019
"Van Siclen Community Middle School","338",40,0.118,19,12,7,17,2019
"Cypress Hills Collegiate Preparatory School","307",32,0.104,11,NA,NA,20,2019
"W. H. Maxwell Career and Technical Education High","384",61,0.159,40,21,19,13,2019
"Vista Academy","491",74,0.151,13,NA,NA,58,2019
"Liberty Avenue Middle School","520",93,0.179,37,21,16,49,2019
"School of the Future Brooklyn","203",49,0.241,25,15,10,24,2019
"East New York Elementary School of Excellence","533",85,0.159,37,22,15,45,2019
"East New York Middle School of Excellence","275",30,0.109,18,NA,NA,11,2019
"School for Classics High School","274",28,0.102,16,8,8,10,2019
"Universal Pre-K C.B.O.","1036",98,0.095,43,24,19,51,2019
"Highland Park Community School","349",37,0.106,6,NA,NA,30,2019
"The Urban Assembly School for Collaborative Health","338",33,0.098,14,NA,NA,17,2019
"P.S./I.S. 30 Mary White Ovington","1034",22,0.021,NA,NA,NA,21,2019
"P.S. 048 Mapleton","584",21,0.036,NA,NA,NA,18,2019
"J.H.S. 062 Ditmas","1249",105,0.084,12,NA,NA,90,2019
"P.S. 69 Vincent D. Grippo School","807",6,0.007,NA,NA,NA,NA,2019
"P.S. 102 The Bayview","1451",54,0.037,NA,NA,NA,49,2019
"P.S./I.S. 104 The Fort Hamilton School","1272",31,0.024,NA,NA,NA,25,2019
"P.S. 105 The Blythebourne","1468",11,0.007,NA,NA,NA,11,2019
"P.S. 112 Lefferts Park","709",24,0.034,NA,NA,NA,20,2019
"P.S. 127 Mckinley Park","532",10,0.019,NA,NA,NA,8,2019
"P.S. 163 Bath Beach","644",63,0.098,NA,NA,NA,62,2019
"P.S. 164 Caesar Rodney","699",65,0.093,NA,NA,NA,62,2019
"Ralph A. Fabrizio School","1045",128,0.122,NA,NA,NA,125,2019
"P.S. 176 Ovington","1336",65,0.049,NA,NA,NA,63,2019
"P.S. 179 Kensington","860",101,0.117,NA,NA,NA,97,2019
"The SEEALL Academy","1083",38,0.035,NA,NA,NA,32,2019
"P.S. 186 Dr. Irving A Gladstone","1095",23,0.021,NA,NA,NA,19,2019
"P.S. 192 - The Magnet School for Math and Science","654",53,0.081,NA,NA,NA,51,2019
"P.S. 200 Benson School","1415",42,0.03,8,NA,NA,31,2019
"J.H.S. 201 The Dyker Heights","1680",31,0.018,NA,NA,NA,28,2019
"P.S. 204 Vince Lombardi","1137",20,0.018,NA,NA,NA,17,2019
"P.S. 205 Clarion","1325",58,0.044,NA,NA,NA,54,2019
"J.H.S. 220 John J. Pershing","1581",130,0.082,10,NA,NA,118,2019
"J.H.S. 223 The Montauk","971",49,0.05,NA,NA,NA,46,2019
"J.H.S. 227 Edward B. Shallow","1654",100,0.06,NA,NA,NA,93,2019
"P.S. 229 Dyker","1286",34,0.026,7,NA,NA,27,2019
"P.S. 247 Brooklyn","882",13,0.015,NA,NA,NA,12,2019
"J.H.S. 259 William Mckinley","1930",63,0.033,NA,NA,NA,59,2019
"P.S. 264 Bay Ridge Elementary School For The Arts","475",12,0.025,NA,NA,NA,10,2019
"New Utrecht High School","3548",304,0.086,13,7,6,286,2019
"High School of Telecommunication Arts and Technolo","1256",42,0.033,7,NA,NA,32,2019
"Fort Hamilton High School","4685",244,0.052,13,NA,NA,221,2019
"P.S. 503: The School of Discovery","1005",390,0.388,17,NA,NA,373,2019
"Franklin Delano Roosevelt High School","3298",343,0.104,30,20,10,302,2019
"P.S. 506: The School of Journalism & Technology","803",83,0.103,NA,NA,NA,78,2019
"Urban Assembly School for Criminal Justice","552",45,0.082,NA,NA,NA,39,2019
"Franklin Delano Roosevelt YABC","298",21,0.07,NA,NA,NA,17,2019
"The Academy of Talented Scholars","399",8,0.02,NA,NA,NA,7,2019
"Universal Pre-K C.B.O.","2726",52,0.019,NA,NA,NA,50,2019
"P.S. 748 Brooklyn School for Global Scholars","543",10,0.018,NA,NA,NA,9,2019
"District 20 Pre-K Center","1357",26,0.019,NA,NA,NA,23,2019
"School of Math, Science, and Healthy Living","345",19,0.055,NA,NA,NA,18,2019
"P.S. 90 Edna Cohen School","654",65,0.099,14,NA,NA,41,2019
"P.S. 095 The Gravesend","1024",26,0.025,8,NA,NA,15,2019
"I.S. 096 Seth Low","857",54,0.063,16,NA,NA,35,2019
"P.S. 97 The Highlawn","792",29,0.037,8,NA,NA,21,2019
"P.S. 099 Isaac Asimov","906",37,0.041,NA,NA,NA,32,2019
"P.S. 100 The Coney Island School","846",37,0.044,NA,NA,NA,35,2019
"P.S. 101 The Verrazano","899",11,0.012,6,NA,NA,NA,2019
"P.S. 121 Nelson A. Rockefeller","347",20,0.058,NA,NA,NA,18,2019
"P.S. 153 Homecrest","572",17,0.03,NA,NA,NA,13,2019
"P.S. 177 The Marlboro","1018",46,0.045,NA,NA,NA,43,2019
"P.S. 188 Michael E. Berdy","390",31,0.079,13,NA,NA,16,2019
"P.S. 199 Frederick Wachtel","595",56,0.094,NA,NA,NA,52,2019
"P.S. 209 Margaret Mead","745",66,0.089,6,NA,NA,60,2019
"P.S. 212 Lady Deborah Moody","753",73,0.097,9,NA,NA,64,2019
"P.S. 215 Morris H. Weiss","854",20,0.023,NA,NA,NA,19,2019
"P.S. 216 Arturo Toscanini","786",29,0.037,NA,NA,NA,25,2019
"P.S. K225 - The Eileen E. Zaglin","1041",41,0.039,7,NA,NA,34,2019
"P.S. 226 Alfred De B. Mason","1043",67,0.064,NA,NA,NA,61,2019
"I.S. 228 David A. Boody","1467",48,0.033,8,NA,NA,38,2019
"P.S. 238 Anne Sullivan","642",68,0.106,NA,NA,NA,64,2019
"Mark Twain I.S. 239 for the Gifted & Talented","1335",15,0.011,NA,NA,NA,15,2019
"P.S. 253","984",64,0.065,6,NA,NA,58,2019
"I.S. 281 Joseph B Cavallaro","1378",44,0.032,8,NA,NA,36,2019
"P.S. 288 The Shirley Tanyhill","633",55,0.087,43,33,10,8,2019
"I.S. 303 Herbert S. Eisenberg","592",46,0.078,NA,NA,NA,40,2019
"P.S. 329 Surfside","406",68,0.167,34,24,10,32,2019
"International High School at Lafayette","368",121,0.329,NA,NA,NA,118,2019
"Rachel Carson High School for Coastal Studies","631",31,0.049,NA,NA,NA,30,2019
"High School of Sports Management","255",25,0.098,10,NA,NA,15,2019
"Abraham Lincoln High School","1912",132,0.069,41,22,19,84,2019
"Abraham Lincoln Yabc","201",17,0.085,NA,NA,NA,11,2019
"Kingsborough Early College School","673",31,0.046,10,NA,NA,17,2019
"Edward R. Murrow High School","3629",332,0.091,21,10,11,304,2019
"John Dewey High School","2240",156,0.07,45,33,12,104,2019
"Life Academy High School for Film and Music","305",23,0.075,6,NA,NA,16,2019
"Expeditionary Learning School for Community Leader","384",31,0.081,8,NA,NA,22,2019
"William E. Grady Career and Technical Education Hi","412",46,0.112,22,11,11,23,2019
"Brooklyn Studio Secondary School","953",18,0.019,NA,NA,NA,15,2019
"Universal Pre-K C.B.O.","1883",65,0.035,6,NA,NA,26,2019
"Liberation Diploma Plus","238",20,0.084,9,NA,NA,7,2019
"J.H.S. 014 Shell Bank","564",81,0.144,24,18,6,56,2019
"P.S. 052 Sheepshead Bay","859",44,0.051,26,NA,NA,18,2019
"J.H.S. 078 Roy H. Mann","580",60,0.103,10,NA,NA,47,2019
"P.S. 109","611",129,0.211,89,77,12,40,2019
"P.S. 119 Amersfort","452",46,0.102,7,NA,NA,38,2019
"P.S. K134","610",46,0.075,NA,NA,NA,46,2019
"P.S. 139 Alexine A. Fenty","972",111,0.114,11,NA,NA,98,2019
"School of Science & Technology","667",89,0.133,18,NA,NA,71,2019
"P.S. 193 Gil Hodges","719",37,0.051,NA,NA,NA,32,2019
"P.S. 194 Raoul Wallenberg","585",82,0.14,25,NA,NA,55,2019
"P.S. 197 - The Kings Highway Academy","828",87,0.105,NA,NA,NA,84,2019
"P.S. 198 Brooklyn","423",97,0.229,42,NA,NA,54,2019
"P.S. 203 Floyd Bennett School","695",82,0.118,15,8,7,62,2019
"P.S. 206 Joseph F Lamb","1546",55,0.036,NA,NA,NA,50,2019
"P.S. 207 Elizabeth G. Leary","1183",18,0.015,12,6,6,6,2019
"P.S. 217 Colonel David Marcus School","1164",126,0.108,19,12,7,107,2019
"J.H.S. 234 Arthur W. Cunningham","1764",105,0.06,6,NA,NA,99,2019
"P.S. 236 Mill Basin","563",17,0.03,NA,NA,NA,14,2019
"Andries Hudde","705",87,0.123,21,15,6,64,2019
"P.S. 245","316",44,0.139,13,NA,NA,25,2019
"P.S. 251 Paerdegat","509",65,0.128,27,NA,NA,37,2019
"P.S. 254 Dag Hammarskjold","787",9,0.011,NA,NA,NA,7,2019
"P.S. 255 Barbara Reing School","903",81,0.09,NA,NA,NA,78,2019
"J.H.S. 278 Marine Park","1227",99,0.081,NA,NA,NA,95,2019
"P.S. 312 Bergen Beach","813",44,0.054,NA,NA,NA,39,2019
"P.S. K315","661",92,0.139,20,12,8,68,2019
"P.S. 361 East Flatbush Early Childhood School","692",134,0.194,25,18,7,109,2019
"I. S. 381","279",8,0.029,NA,NA,NA,NA,2019
"Midwood High School","4149",214,0.052,14,NA,NA,196,2019
"James Madison High School","3903",246,0.063,17,10,7,217,2019
"Home Schooling","365",14,0.038,NA,NA,NA,10,2019
"Leon M. Goldstein High School for the Sciences","1081",9,0.008,NA,NA,NA,9,2019
"Brooklyn College Academy","656",15,0.023,NA,NA,NA,12,2019
"Origins High School","434",49,0.113,12,6,6,37,2019
"Professional Pathways High School","259",20,0.077,8,NA,NA,11,2019
"Universal Pre-K C.B.O.","1629",28,0.017,6,NA,NA,21,2019
"The Joan Snow Pre-K Center","297",6,0.02,NA,NA,NA,NA,2019
"P.S. 889","139",7,0.05,NA,NA,NA,NA,2019
"M.S. 890","218",17,0.078,NA,NA,NA,13,2019
"P.S. 041 Francis White","416",86,0.207,50,41,9,29,2019
"P.S./I.S. 137 Rachel Jean Mitchell","298",51,0.171,34,27,7,17,2019
"P.S. 150 Christopher","230",51,0.222,23,17,6,21,2019
"P.S./ I.S. 155 Nicholas Herkimer","468",109,0.233,66,60,6,39,2019
"P.S. 156 Waverly","676",132,0.195,86,62,24,32,2019
"P.S. 165 Ida Posner","322",44,0.137,27,16,11,12,2019
"P.S. 178 Saint Clair Mckelway","382",102,0.267,69,54,15,33,2019
"P.S. 184 Newport","558",110,0.197,61,36,25,32,2019
"The Gregory Jocko Jackson School of Sports, Art, a","314",49,0.156,41,29,12,6,2019
"P.S. 298 Dr. Betty Shabazz","306",73,0.239,39,27,12,32,2019
"P.S./I.S. 323","647",130,0.201,109,94,15,16,2019
"P.S. 327 Dr. Rose B. English","332",97,0.292,64,50,14,27,2019
"Brownsville Collaborative Middle School","290",59,0.203,38,29,9,19,2019
"I.S. 392","310",23,0.074,11,NA,NA,11,2019
"Christopher Avenue Community School","338",104,0.308,89,72,17,15,2019
"Home Schooling","76",12,0.158,11,NA,NA,NA,2019
"Riverdale Avenue Community School","420",100,0.238,54,NA,NA,45,2019
"Brooklyn Collegiate: A College Board School","285",41,0.144,26,16,10,13,2019
"Frederick Douglass Academy VII High School","155",23,0.148,16,10,6,NA,2019
"Kappa V (Knowledge and Power Preparatory Academy)","195",32,0.164,13,6,7,18,2019
"Mott Hall IV","175",19,0.109,12,NA,NA,NA,2019
"Brooklyn Landmark Elementary School","402",59,0.147,29,17,12,26,2019
"Brooklyn Democracy Academy","236",35,0.148,19,7,12,9,2019
"Eagle Academy for Young Men II","647",71,0.11,47,24,23,21,2019
"Metropolitan Diploma Plus High School","233",26,0.112,16,NA,NA,NA,2019
"Brooklyn Environmental Exploration School (BEES)","113",31,0.274,21,13,8,6,2019
"Riverdale Avenue Middle School","144",41,0.285,20,NA,NA,20,2019
"Mott Hall Bridges Academy","200",36,0.18,25,NA,NA,10,2019
"Teachers Preparatory High School","222",43,0.194,31,19,12,9,2019
"Universal Pre-K C.B.O.","515",44,0.085,19,NA,NA,23,2019
"I.S. 5 - The Walter Crowley Intermediate School","1828",85,0.046,38,31,7,47,2019
"P.S. 007 Louis F. Simeone","1415",82,0.058,10,NA,NA,71,2019
"P.S. 012 James B. Colgate","1177",118,0.1,NA,NA,NA,113,2019
"P.S. 013 Clement C. Moore","1538",264,0.172,6,NA,NA,258,2019
"P.S. 014 Fairview","1610",90,0.056,7,NA,NA,76,2019
"P.S. Q016 The Nancy DeBenedittis School","1531",372,0.243,11,NA,NA,359,2019
"P.S. 019 Marino Jeantet","1919",240,0.125,NA,NA,NA,235,2019
"P.S. 28 - The Thomas Emanuel Early Childhood Cente","479",28,0.058,NA,NA,NA,27,2019
"P.S. 049 Dorothy Bonawit Kole","1227",66,0.054,NA,NA,NA,61,2019
"P.S. 58 - The School of Heroes","1058",56,0.053,9,NA,NA,46,2019
"I.S. 061 Leonardo Da Vinci","2340",242,0.103,16,10,6,226,2019
"P.S. 068 Cambridge","608",28,0.046,8,NA,NA,20,2019
"P.S. 071 Forest","750",59,0.079,NA,NA,NA,53,2019
"I.S. 73 - The Frank Sansivieri Intermediate School","2011",94,0.047,10,NA,NA,81,2019
"I.S. 077","974",87,0.089,14,NA,NA,69,2019
"P.S. 81Q Jean Paul Richter","673",103,0.153,14,NA,NA,89,2019
"P.S./I.S. 087 Middle Village","640",12,0.019,NA,NA,NA,10,2019
"P.S. 088 Seneca","874",24,0.027,10,NA,NA,12,2019
"P.S. 089 Elmhurst","1862",194,0.104,8,NA,NA,183,2019
"P.S. 091 Richard Arkwright","775",25,0.032,6,NA,NA,18,2019
"I.S. 093 Ridgewood","1166",54,0.046,6,NA,NA,48,2019
"P.S. 102 Bayview","1357",99,0.073,50,NA,NA,49,2019
"P.S. 110","911",140,0.154,NA,NA,NA,136,2019
"P.S./I.S. 113 Anthony J. Pranzo","899",26,0.029,NA,NA,NA,25,2019
"I.S. 119 The Glendale","1303",42,0.032,NA,NA,NA,36,2019
"I.S. 125 Thom J. McCann Woodside","1547",164,0.106,16,NA,NA,148,2019
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen","963",13,0.013,NA,NA,NA,11,2019
"P.S. 143 Louis Armstrong","1410",140,0.099,22,NA,NA,117,2019
"P.S. 153 Maspeth Elem","1150",25,0.022,NA,NA,NA,21,2019
"P.S. 199 Maurice A. Fitzgerald","847",107,0.126,48,NA,NA,59,2019
"Elm Tree Elementary School","547",185,0.338,NA,NA,NA,182,2019
"P.S. 229 Emanuel Kaplan","1457",89,0.061,34,28,6,55,2019
"International High School for Health Sciences","307",88,0.287,6,NA,NA,80,2019
"P.S. 239","555",111,0.2,10,NA,NA,99,2019
"Academy of Finance and Enterprise","652",33,0.051,6,NA,NA,26,2019
"High School of Applied Communication","412",11,0.027,NA,NA,NA,6,2019
"A.C.E. Academy for Scholars at the Geraldine Ferra","595",21,0.035,NA,NA,NA,18,2019
"Civic Leadership Academy","596",28,0.047,7,NA,NA,21,2019
"Pan American International High School","497",90,0.181,6,NA,NA,83,2019
"Learners and Leaders","604",91,0.151,NA,NA,NA,88,2019
"Pioneer Academy","925",90,0.097,7,NA,NA,83,2019
"Corona Arts & Sciences Academy","794",63,0.079,NA,NA,NA,61,2019
"Helen M. Marshall School","582",147,0.253,6,NA,NA,137,2019
"Mosaic Pre-K Center","1002",42,0.042,8,NA,NA,33,2019
"The Children's Lab School","434",23,0.053,7,NA,NA,16,2019
"Home Schooling","289",13,0.045,7,NA,NA,6,2019
"Newtown High School","1858",169,0.091,30,17,13,136,2019
"H.S. Arts & Business Yabc","226",9,0.04,NA,NA,NA,8,2019
"Grover Cleveland High School","1780",142,0.08,16,NA,NA,124,2019
"Middle College High School at LaGuardia Community","520",10,0.019,NA,NA,NA,10,2019
"International High School at LaGuardia Community C","537",78,0.145,NA,NA,NA,72,2019
"High School for Arts and Business","785",32,0.041,11,NA,NA,21,2019
"Robert F. Wagner, Jr. Secondary School for Arts an","658",19,0.029,NA,NA,NA,14,2019
"Maspeth High School","1220",25,0.02,8,NA,NA,17,2019
"Queens Technical High School","1490",42,0.028,NA,NA,NA,37,2019
"Aviation Career & Technical Education High School","2103",33,0.016,NA,NA,NA,30,2019
"Universal Pre-K C.B.O.","2297",140,0.061,24,NA,NA,112,2019
"VOYAGES Preparatory","222",6,0.027,NA,NA,NA,NA,2019
"P.S. 020 John Bowne","1271",80,0.063,19,NA,NA,61,2019
"P.S. 021 Edward Hart","1388",234,0.169,NA,NA,NA,228,2019
"P.S. 022 Thomas Jefferson","928",50,0.054,NA,NA,NA,50,2019
"P.S. 024 Andrew Jackson","1124",120,0.107,NA,NA,NA,120,2019
"I.S. 025 Adrien Block","1084",35,0.032,NA,NA,NA,31,2019
"P.S. 029 Queens","729",46,0.063,7,NA,NA,39,2019
"P.S. 032 State Street","1015",32,0.032,NA,NA,NA,32,2019
"P.S. 079 Francis Lewis","1124",32,0.028,NA,NA,NA,30,2019
"P.S. 107 Thomas A Dooley","971",85,0.088,NA,NA,NA,81,2019
"P.S. 120 Queens","990",12,0.012,NA,NA,NA,12,2019
"P.S. 129 Patricia Larkin","1144",66,0.058,NA,NA,NA,65,2019
"P.S. 154 Queens","702",20,0.028,NA,NA,NA,16,2019
"P.S. 163 Flushing Heights","833",10,0.012,NA,NA,NA,10,2019
"P.S. 164 Queens Valley","699",26,0.037,NA,NA,NA,22,2019
"P.S. 165 Edith K. Bergtraum","791",68,0.086,13,NA,NA,53,2019
"P.S. 184 Flushing Manor","536",33,0.062,NA,NA,NA,32,2019
"J.H.S. 185 Edward Bleeker","1554",88,0.057,7,NA,NA,81,2019
"J.H.S. 189 Daniel Carter Beard","788",47,0.06,NA,NA,NA,44,2019
"J.H.S. 194 William Carr","1310",55,0.042,NA,NA,NA,51,2019
"P.S./M.S. 200 - The Magnet School of Global Studie","541",29,0.054,12,NA,NA,16,2019
"P.S. 201 The Discovery School for Inquiry and Rese","509",35,0.069,22,NA,NA,11,2019
"P.S. 209 Clearview Gardens","566",7,0.012,NA,NA,NA,NA,2019
"P.S. 214 Cadwallader Colden","467",16,0.034,NA,NA,NA,14,2019
"P.S. 219 Paul Klapper","647",74,0.114,NA,NA,NA,70,2019
"I.S. 237","1429",59,0.041,8,NA,NA,48,2019
"Veritas Academy","587",36,0.061,NA,NA,NA,31,2019
"Queens High School for Language Studies","440",10,0.023,NA,NA,NA,8,2019
"I.S. 250 The Robert F. Kennedy Community Middle Sc","389",36,0.093,6,NA,NA,27,2019
"Queens School of Inquiry, The","601",13,0.022,NA,NA,NA,10,2019
"Flushing International High School","451",87,0.193,NA,NA,NA,76,2019
"World Journalism Preparatory: A College Board Scho","588",19,0.032,NA,NA,NA,19,2019
"College Point Collaborative","159",8,0.05,NA,NA,NA,7,2019
"District 25 PRE-K Center","238",6,0.025,NA,NA,NA,6,2019
"John Bowne High School","3661",187,0.051,29,21,8,146,2019
"Home Schooling","235",7,0.03,NA,NA,NA,7,2019
"Flushing High School","1683",173,0.103,20,12,8,149,2019
"Flushing Yabc","260",10,0.038,NA,NA,NA,7,2019
"The Queens College School for Math, Science and Te","534",7,0.013,NA,NA,NA,7,2019
"Queens Academy High School","394",11,0.028,NA,NA,NA,NA,2019
"Robert F. Kennedy Community High School","721",26,0.036,NA,NA,NA,19,2019
"Universal Pre-K C.B.O.","1812",26,0.014,NA,NA,NA,20,2019
"North Queens Community High School","205",15,0.073,9,NA,NA,NA,2019
"P.S. 018 Winchester","606",15,0.025,NA,NA,NA,14,2019
"P.S. 026 Rufus King","743",15,0.02,NA,NA,NA,13,2019
"P.S. 041 Crocheron","481",16,0.033,NA,NA,NA,16,2019
"P.S. 046 Alley Pond","574",10,0.017,NA,NA,NA,10,2019
"J.H.S. 067 Louis Pasteur","963",15,0.016,NA,NA,NA,14,2019
"J.H.S. 074 Nathaniel Hawthorne","1180",25,0.021,NA,NA,NA,23,2019
"P.S. 094 David D. Porter","347",12,0.035,NA,NA,NA,12,2019
"The James J. Ambrose School","800",11,0.014,NA,NA,NA,11,2019
"P.S. 133 Queens","608",28,0.046,NA,NA,NA,26,2019
"M.S. 158 Marie Curie","1094",24,0.022,NA,NA,NA,23,2019
"P.S. 159","687",40,0.058,NA,NA,NA,39,2019
"P.S. 162 John Golden","684",6,0.009,NA,NA,NA,6,2019
"Irwin Altman Middle School 172","1004",10,0.01,NA,NA,NA,9,2019
"P.S. 173 Fresh Meadows","1004",35,0.035,NA,NA,NA,31,2019
"P.S./ IS 178 Holliswood","587",16,0.027,NA,NA,NA,15,2019
"P.S. 186 Castlewood","394",6,0.015,NA,NA,NA,6,2019
"P.S. 191 Mayflower","397",27,0.068,NA,NA,NA,27,2019
"P.S. 213 The Carl Ullman School","476",29,0.061,NA,NA,NA,26,2019
"J.H.S. 216 George J. Ryan","1566",121,0.077,NA,NA,NA,118,2019
"P.S./I.S. 266","666",10,0.015,NA,NA,NA,NA,2019
"Business Technology Early College High School","535",36,0.067,11,NA,NA,24,2019
"P.S. 376","176",10,0.057,NA,NA,NA,10,2019
"Benjamin N. Cardozo High School","3622",100,0.028,14,NA,NA,77,2019
"Francis Lewis High School","4506",175,0.039,8,NA,NA,161,2019
"Martin Van Buren High School","1189",26,0.022,12,NA,NA,11,2019
"Bayside High School","2865",145,0.051,10,NA,NA,127,2019
"Queens High School of Teaching, Liberal Arts and t","1083",27,0.025,7,NA,NA,20,2019
"Universal Pre-K C.B.O.","1014",12,0.012,NA,NA,NA,10,2019
"P.S./M.S 042 R. Vernam","680",92,0.135,45,34,11,45,2019
"P.S. 043","925",156,0.169,76,60,16,75,2019
"P.S. 045 Clarence Witherspoon","326",61,0.187,37,NA,NA,18,2019
"P.S. 047 Chris Galas","251",9,0.036,NA,NA,NA,8,2019
"P.S. 051","256",15,0.059,NA,NA,NA,14,2019
"M.S. 053 Brian Piccolo","256",55,0.215,35,20,15,17,2019
"P.S. 056 Harry Eichler","375",33,0.088,NA,NA,NA,27,2019
"P.S. 060 Woodhaven","1221",68,0.056,15,NA,NA,52,2019
"P. S. 62 - Chester Park School","948",16,0.017,9,NA,NA,7,2019
"P.S. 063 Old South","1259",50,0.04,21,NA,NA,26,2019
"P.S. 064 Joseph P. Addabbo","562",6,0.011,NA,NA,NA,NA,2019
"P.S. 65 - The Raymond York Elementary School","485",35,0.072,15,NA,NA,19,2019
"P.S. 066 Jacqueline Kennedy Onassis","501",24,0.048,NA,NA,NA,21,2019
"P.S. 090 Horace Mann","822",74,0.09,6,NA,NA,64,2019
"P.S. 096","315",16,0.051,NA,NA,NA,13,2019
"P.S. 097 Forest Park","737",31,0.042,6,NA,NA,24,2019
"P.S. 100 Glen Morris","984",20,0.02,9,NA,NA,10,2019
"P.S. 104 The Bays Water","668",66,0.099,25,18,7,37,2019
"P.S. 105 The Bay School","894",118,0.132,72,52,20,44,2019
"Lighthouse Elementary School","225",34,0.151,14,NA,NA,19,2019
"P.S. 108 Captain Vincent G. Fowler","1455",86,0.059,15,NA,NA,71,2019
"P.S./M.S. 114 Belle Harbor","689",6,0.009,NA,NA,NA,NA,2019
"P.S. 123","712",59,0.083,34,27,7,24,2019
"P.S. 124 Osmond A Church","1184",27,0.023,11,NA,NA,16,2019
"M.S. 137 America's School of Heroes","1935",31,0.016,10,NA,NA,16,2019
"P.S. 146 Howard Beach","644",14,0.022,NA,NA,NA,13,2019
"P.S. 155","559",19,0.034,6,NA,NA,12,2019
"P.S. 183 Dr. Richard R. Green","499",37,0.074,22,NA,NA,15,2019
"P.S. 197 The Ocean School","581",40,0.069,15,NA,NA,21,2019
"J.H.S. 202 Robert H. Goddard","1145",54,0.047,12,NA,NA,38,2019
"J.H.S. 210 Elizabeth Blackwell","1983",126,0.064,29,22,7,92,2019
"P.S. 223 Lyndon B. Johnson","606",40,0.066,17,NA,NA,14,2019
"J.H.S. 226 Virgil I. Grissom","1002",94,0.094,35,21,14,57,2019
"P.S. 232 Lindenwood","978",19,0.019,8,NA,NA,11,2019
"P.S. 253","603",119,0.197,26,NA,NA,88,2019
"P.S. 254 - The Rosa Parks School","633",36,0.057,6,NA,NA,30,2019
"Frederick Douglass Academy VI High School","341",44,0.129,20,8,12,20,2019
"Voyages Prep - South Queens","337",30,0.089,16,8,8,12,2019
"Channel View School for Research","973",25,0.026,13,7,6,10,2019
"P.S. 273","331",7,0.021,NA,NA,NA,NA,2019
"Knowledge and Power Preparatory Academy VI","263",8,0.03,NA,NA,NA,7,2019
"Hawtree Creek Middle School","380",16,0.042,NA,NA,NA,8,2019
"Queens High School for Information, Research, and","494",37,0.075,13,NA,NA,17,2019
"New York City Academy for Discovery","403",13,0.032,NA,NA,NA,8,2019
"Robert H. Goddard High School of Communication Art","640",12,0.019,NA,NA,NA,8,2019
"Academy of Medical Technology: A College Board Sch","660",63,0.095,15,9,6,45,2019
"Epic High School - South","398",11,0.028,NA,NA,NA,NA,2019
"Queens Explorers Elementary School","404",7,0.017,NA,NA,NA,NA,2019
"Waterside Children's Studio School","536",36,0.067,10,NA,NA,24,2019
"Waterside School For Leadership","241",21,0.087,8,NA,NA,13,2019
"Village Academy","406",42,0.103,17,NA,NA,17,2019
"Rockaway Park High School for Environmental Sustai","312",30,0.096,12,NA,NA,14,2019
"Epic High School - North","423",26,0.061,NA,NA,NA,18,2019
"Curious Young Learners Pre-K Center","415",11,0.027,NA,NA,NA,8,2019
"Rockaway Collegiate High School","320",27,0.084,11,NA,NA,13,2019
"Wave Preparatory Elementary School","587",105,0.179,35,28,7,67,2019
"P.S. 377","296",18,0.061,13,NA,NA,NA,2019
"August Martin High School","312",29,0.093,15,7,8,13,2019
"Home Schooling","376",12,0.032,7,NA,NA,NA,2019
