"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"School for Environmental Citizenship","612",189,0.309,28,NA,NA,160,2019
"M.S. 390","561",164,0.292,30,19,11,132,2019
"The Angelo Patri Middle School","505",131,0.259,51,35,16,79,2019
"P.S. 396","321",85,0.265,39,NA,NA,46,2019
"English Language Learners and International Suppor","352",144,0.409,20,NA,NA,119,2019
"High School for Teaching and the Professions","417",56,0.134,14,NA,NA,39,2019
"Belmont Preparatory High School","391",22,0.056,7,NA,NA,14,2019
"Fordham Leadership Academy","343",33,0.096,18,12,6,15,2019
"Bronx High School for Law and Community Service","407",42,0.103,13,NA,NA,23,2019
"DeWitt Clinton High School","1070",137,0.128,42,25,17,88,2019
"Celia Cruz Bronx High School of Music, The","423",28,0.066,14,7,7,14,2019
"Home Schooling","234",26,0.111,12,NA,NA,14,2019
"The Bronx High School of Science","3014",6,0.002,NA,NA,NA,NA,2019
"Creston Academy","474",95,0.2,7,NA,NA,88,2019
"East Fordham Academy for the Arts","313",82,0.262,16,9,7,63,2019
"Marble Hill High School for International Studies","449",47,0.105,NA,NA,NA,39,2019
"Walton Yabc","242",32,0.132,6,NA,NA,24,2019
"Kennedy Yabc","134",18,0.134,8,NA,NA,7,2019
"Crotona International High School","365",130,0.356,22,NA,NA,100,2019
"Rose Hill Pre-K Center","421",105,0.249,26,NA,NA,76,2019
"Bronx Theatre High School","361",56,0.155,32,19,13,24,2019
"Discovery High School","486",78,0.16,19,NA,NA,51,2019
"High School for Energy and Technology","410",63,0.154,23,10,13,38,2019
"Dewitt Clinton Campus YABC","113",17,0.15,12,6,6,NA,2019
"Universal Pre-K C.B.O.","2495",271,0.109,72,61,11,190,2019
"P.S. 016 Wakefield","355",53,0.149,28,NA,NA,25,2019
"P.S. 019 Judith K. Weiss","556",28,0.05,NA,NA,NA,26,2019
"P.S. 021 Philip H. Sheridan","685",146,0.213,58,39,19,71,2019
"P.S. 041 Gun Hill Road","886",150,0.169,62,48,14,77,2019
"P.S. 068 Bronx","673",69,0.103,29,NA,NA,39,2019
"P.S. 076 The Bennington School","946",120,0.127,45,NA,NA,72,2019
"P.S. 078 Anne Hutchinson","857",91,0.106,56,38,18,30,2019
"P.S. 083 Donald Hertz","1717",155,0.09,34,25,9,115,2019
"P.S. 087 Bronx","615",73,0.119,20,NA,NA,53,2019
"P.S. 089 Bronx","1595",157,0.098,52,NA,NA,104,2019
"P.S. 096 Richard Rodgers","920",117,0.127,35,27,8,74,2019
"P.S. 097 Bronx","627",46,0.073,13,NA,NA,24,2019
"P.S. 103 Hector Fontanez","1067",106,0.099,58,36,22,38,2019
"P.S. 105 Sen Abraham Bernstein","1078",177,0.164,33,25,8,143,2019
"P.S. 106 Parkchester","1152",185,0.161,33,26,7,150,2019
"P.S. 108 Philip J. Abinanti","611",38,0.062,6,NA,NA,31,2019
"P.S. 111 Seton Falls","665",116,0.174,37,28,9,67,2019
"P.S. 112 Bronxwood","442",94,0.213,42,NA,NA,44,2019
"P.S. 121 Throop","867",91,0.105,40,28,12,44,2019
"J.H.S. 127 The Castle Hill","895",165,0.184,26,NA,NA,137,2019
"J.H.S. 144 Michelangelo","504",79,0.157,35,28,7,38,2019
"P.S. 153 Helen Keller","635",31,0.049,10,NA,NA,20,2019
"P.S. 160 Walt Disney","393",43,0.109,6,NA,NA,32,2019
"Baychester Academy","450",51,0.113,34,24,10,17,2019
"P.S. 175 City Island","326",6,0.018,NA,NA,NA,NA,2019
"P.S. 178 - Dr. Selman Waksman","434",78,0.18,38,31,7,39,2019
"M.S. 180 Dr. Daniel Hale Williams","1032",40,0.039,8,NA,NA,32,2019
"I.S. 181 Pablo Casals","905",74,0.082,19,13,6,50,2019
"Cornerstone Academy for Social Action","406",67,0.165,21,14,7,36,2019
"P.S./M.S. 194","1343",149,0.111,23,16,7,122,2019
"Bronx Health Sciences High School","299",29,0.097,10,NA,NA,18,2019
"Bronx High School for Writing and Communication Ar","345",50,0.145,17,11,6,30,2019
"Bronx Lab School","373",39,0.105,25,16,9,10,2019
"Academy for Scholarship and Entrepreneurship: A Co","364",43,0.118,17,NA,NA,22,2019
"High School of Computers and Technology","542",67,0.124,22,16,6,40,2019
"North Bronx School of Empowerment","591",105,0.178,49,28,21,46,2019
"Collegiate Institute for Math and Science","616",18,0.029,NA,NA,NA,13,2019
"Bronx Academy of Health Careers","382",79,0.207,38,19,19,34,2019
"Astor Collegiate Academy","493",21,0.043,10,NA,NA,10,2019
"Bronx Green Middle School","421",65,0.154,13,NA,NA,52,2019
"Bronx Alliance Middle School","322",55,0.171,22,10,12,28,2019
"Young Voices Academy of the Bronx","442",89,0.201,7,NA,NA,82,2019
"Leaders of Tomorrow","455",65,0.143,37,26,11,27,2019
"C Columbus Hs Yabc","216",26,0.12,7,NA,NA,17,2019
"Bronx High School for the Visual Arts","456",49,0.107,20,11,9,25,2019
"Home Schooling","325",20,0.062,15,NA,NA,NA,2019
"Harry S Truman High School","2134",233,0.109,83,60,23,141,2019
"Cornerstone Academy for Social Action Middle Schoo","270",35,0.13,15,8,7,16,2019
"Pelham Academy of Academics and Community Engageme","364",46,0.126,10,NA,NA,34,2019
"The STEAM Bridge School","219",15,0.068,8,NA,NA,7,2019
"The Matilda Avenue School","173",44,0.254,26,NA,NA,18,2019
"P.S./M.S. 11X498 - VAN NEST ACADEMY","651",32,0.049,NA,NA,NA,26,2019
"Bronxdale High School","470",29,0.062,12,NA,NA,15,2019
"High School of Language and Innovation","390",92,0.236,NA,NA,NA,87,2019
"New World High School","387",28,0.072,12,NA,NA,15,2019
"The Bronxwood Preparatory Academy","387",46,0.119,23,13,10,22,2019
"One World Middle School at Edenwald","346",25,0.072,NA,NA,NA,18,2019
"Baychester Middle School","300",45,0.15,17,11,6,27,2019
"District 11 Pre-K Center","85",11,0.129,NA,NA,NA,6,2019
"Pelham Preparatory Academy","509",33,0.065,10,NA,NA,20,2019
"High School for Contemporary Arts","432",61,0.141,27,16,11,30,2019
"Bronx Aerospace High School","323",61,0.189,29,15,14,29,2019
"Bronx Park Middle School","427",95,0.222,22,12,10,69,2019
"Pelham Gardens Middle School","486",41,0.084,24,13,11,17,2019
"Linden Tree Elementary School","401",78,0.195,38,NA,NA,39,2019
"Universal Pre-K C.B.O.","2374",146,0.061,37,31,6,106,2019
"P.S. 006 West Farms","559",165,0.295,91,78,13,70,2019
"P.S. 044 David C. Farragut","306",110,0.359,81,74,7,28,2019
"P.S. 047 John Randolph","1114",66,0.059,45,36,9,19,2019
"P.S. 057 Crescent","606",109,0.18,48,33,15,61,2019
"P.S. 061 Francisco Oller","313",73,0.233,16,NA,NA,57,2019
"P.S. 066 School of Higher Expectations","619",168,0.271,106,66,40,60,2019
"P.S. 067 Mohegan School","528",82,0.155,58,51,7,22,2019
"J.H.S. 098 Herman Ridder","309",69,0.223,41,24,17,23,2019
"M.S. 129 Academy for Independent Learning and Lead","554",100,0.181,63,49,14,37,2019
"P.S. 134 George F. Bristow","661",102,0.154,67,50,17,28,2019
"P.S. 150 Charles James Fox","825",208,0.252,99,81,18,107,2019
"E.S.M.T- I.S. 190","293",43,0.147,19,10,9,23,2019
"P.S. 195","919",198,0.215,48,41,7,147,2019
"P.S. 196","902",155,0.172,57,40,17,97,2019
"P.S. 211","585",75,0.128,36,NA,NA,39,2019
"P.S. 212","202",69,0.342,29,22,7,29,2019
"P.S. 214","1165",200,0.172,111,86,25,85,2019
"School of Performing Arts","360",86,0.239,47,31,16,39,2019
"Mott Hall V","676",45,0.067,18,NA,NA,27,2019
"Metropolitan High School, The","358",77,0.215,32,21,11,36,2019
"Explorations Academy H.S.","353",61,0.173,28,18,10,27,2019
"Bronx Latin","583",25,0.043,13,NA,NA,9,2019
"East Bronx Academy for the Future","697",100,0.143,43,29,14,52,2019
"Frederick Douglass Academy V. Middle School","220",43,0.195,24,13,11,17,2019
"Fannie Lou Hamer Middle School","284",65,0.229,40,25,15,23,2019
"The School of Science and Applied Learning","640",167,0.261,112,93,19,49,2019
"Fairmont Neighborhood School","312",51,0.163,27,19,8,22,2019
"Kappa III","388",45,0.116,17,9,8,25,2019
"I.S. X318 Math, Science & Technology Through Arts","255",39,0.153,25,NA,NA,13,2019
"Accion Academy","418",101,0.242,38,27,11,58,2019
"Emolior Academy","334",52,0.156,21,12,9,31,2019
"Pan American International High School at Monroe","533",142,0.266,28,21,7,103,2019
"Learning To Work Yabc At Monroe Academy","231",27,0.117,12,NA,NA,12,2019
"Home Schooling","114",16,0.14,8,NA,NA,6,2019
"Arturo A. Schomburg Satellite Academy Bronx","198",18,0.091,8,NA,NA,10,2019
"Samara Community School","248",34,0.137,9,NA,NA,24,2019
"Urban Scholars Community School","329",84,0.255,43,35,8,34,2019
"The Cinema School","313",21,0.067,NA,NA,NA,16,2019
"Bronx Career and College Preparatory High School","267",38,0.142,23,17,6,12,2019
"Bronx Regional High School","208",50,0.24,22,9,13,20,2019
"Bronx Envision Academy","425",73,0.172,42,26,16,25,2019
"The Metropolitan Soundview High School","424",48,0.113,19,9,10,25,2019
"Archer Elementary School","506",122,0.241,34,22,12,82,2019
